Sample,Abbottina_rivularis,Acheilognathus_chankaensis,Acheilognathus_macropterus,Aphyocypris_chinensis,Barbatula_nuda,Brachymystax_lenok,Carassius_auratus,Carassius_gibelio,Channa_argus,Chanodichthys_erythropterus,Chanodichthys_mongolicus,Cobitis_lutheri,Cobitis_melanoleuca,Coregonus_chadary,Cottus_poecilopus,Ctenopharyngodon_idella,Culter_alburnus,Cyprinus_carpio,Elopichthys_bambusa,Esox_lucius,Esox_reichertii,Eudontomyzon_morii,Gnathopogon_strigatus,Gobio_cynocephalus,Gobio_soldatovi,Gobiobotia_pappenheimi,Hemibarbus_labeo,Hemibarbus_maculatus,Hemiculter_bleekeri,Hemiculter_leucisculus,Hucho_taimen,Hypomesus_nipponensis,Hypomesus_olidus,Hypophthalmichthys_molitrix,Hypophthalmichthys_nobilis,Ictalurus_punctatus,Ladislavia_taczanowskii,Lefua_costata,Leiocassis_longirostris,Leuciscus_waleckii,Lota_lota,Luciobarbus_capito,Macropodus_chinensis,Megalobrama_skolkovii,Megalobrama_terminalis,Mesocottus_haitej,Micropercops_swinhonis,Microphysogobio_amurensis,Misgurnus_anguillicaudatus,Misgurnus_mohoity,Mylopharyngodon_piceus,Neosalanx_taihuensis,Oncorhynchus_keta,Oncorhynchus_mykiss,Opsariichthys_bidens,Oryzias_latipes,Parabotia_fasciatus,Parabramis_pekinensis,Paramisgurnus_dabryanus,Perca_fluviatilis,Perccottus_glenii,Phoxinus_phoxinus,Plagiognathops_microlepis,Protosalanx_hyalocranius,Pseudaspius_leptocephalus,Pseudobrama_simoni,Pseudorasbora_parva,Pungitius_sinensis,Rhinogobius_brunneus,Rhinogobius_cliffordpopei,Rhodeus_lighti,Rhodeus_ocellatus,Rhodeus_sericeus,Rhodeus_sinensis,Rhynchocypris_czekanowskii,Rhynchocypris_lagowskii,Rhynchocypris_oxycephalus,Rhynchocypris_percnurus,Rutilus_rutilus,Salvelinus_leucomaenis,Salvelinus_malma,Sander_lucioperca,Sarcocheilichthys_lacustris,Sarcocheilichthys_nigripinnis,Saurogobio_dabryi,Silurus_asotus,Siniperca_chuatsi,Squalidus_argentatus,Squalidus_chankaensis,Squaliobarbus_curriculus,Tachysurus_argentivittatus,Tachysurus_fulvidraco,Tachysurus_nitidus,Tachysurus_ussuriensis,Thymallus_arcticus,Thymallus_grubii,Thymallus_tugarinae,Tinca_tinca,Xenocypris_argentea,Zacco_platypus
Autumn_W05_2,12,4159,1,0,3,718,227,18195,0,15,2,0,0,0,0,20,8,1123,0,0,3984,0,6,13,0,0,15,19,1452,855,0,6,0,0,10,0,0,1,0,83,8,10,0,0,0,0,0,0,0,0,0,0,6275,1,0,6,0,0,0,0,395,0,0,0,217,0,288,24,184,0,874,1,851,0,15,417,16,2,9,0,0,0,0,0,10,3193,17,10,161,0,40,9,1906,65,0,0,9,1,1123,0
Autumn_W05_3,11,3786,2,0,282,330,363,12842,0,1,0,8,0,0,0,395,2,2370,0,0,1528,0,33,12,0,0,87,15,358,717,58,300,1,0,9,6,0,2,0,72,258,8,0,0,60,0,0,0,0,3,0,0,17601,2,0,1,0,0,0,0,205,0,0,1,115,0,364,265,138,4,329,1,397,0,8,34,431,9,5,0,0,0,0,0,9,1604,11,16,127,0,22,20,261,8,0,0,243,2,310,10
Autumn_W06_1,19,494,0,0,15,32,67,4752,3,3,0,1,4,0,0,34,0,180,0,0,3945,0,12,1175,0,2,6,11,1609,293,1,8,0,0,4,0,0,3,0,25,36,258,0,0,1,0,0,0,0,0,0,0,3527,2,0,29,0,0,0,0,112,0,0,0,6,0,54,14,1,4,33,0,949,0,3,317,38,24,3,0,0,0,0,10,8,12715,7,3,24,0,2989,17,99,18,0,0,3,3,1031,0
Autumn_W06_2,0,630,2,0,2,32,568,5999,0,18,1,7,0,0,1,9,28,719,30,0,5185,0,12,9,3,0,14,12,709,1437,0,0,0,0,781,0,0,158,0,425,11,10,0,0,2,0,10,0,1,0,0,0,3777,1,0,0,0,0,0,0,770,0,0,0,6,0,796,19,2,0,49,0,92,0,1231,50,633,6,0,1,0,0,0,31,2,15627,1958,7,13,0,127,111,106,1,0,0,12,1,724,0
Autumn_W06_3,3,1505,2,0,2,49,78,8090,0,1,0,0,0,0,0,24,0,2418,0,0,2052,0,1,7,3,0,18,1296,1312,910,0,6,0,0,9,0,21,3,0,37,713,4,0,0,0,0,0,10,0,0,0,0,3886,4,0,9,0,0,0,0,107,0,0,0,4,0,1371,37,33,0,51,0,470,0,9,36,18,1,1,1,0,0,1,0,622,12539,45,814,6,0,79,1635,48,8,0,0,10,0,1852,0
Autumn_W07_1,140,4922,4,0,1,25,343,18127,1,157,8,92,2,0,2,50,417,2848,1,0,424,26,7,0,0,0,261,214,1090,5797,0,2,0,0,0,0,0,0,0,306,1,6,0,0,35,0,137,1,0,0,0,0,1077,0,0,7,0,0,0,0,428,19,0,0,2,0,725,1,11,3,41,0,31,0,0,19,19,0,20,0,0,0,0,0,2,4365,7,7,2250,0,11,56,123,3,0,0,20,1,1305,1
Autumn_W07_2,369,5866,6,0,2,13,313,14364,2,123,3,4,1,0,0,144,329,1151,2,0,168,1,11,0,1,0,376,332,599,5744,0,5,0,0,2,0,0,0,0,20,8,6,0,0,0,0,1,1,32,0,0,0,942,3,0,14,1,0,0,0,1472,2,0,0,112,0,434,1,9,0,29,1,34,0,0,24,17,4,20,0,0,0,0,1,3,2949,21,3,1593,0,306,34,89,0,0,0,0,0,2066,2
Autumn_W07_3,553,4572,3,0,7,23,492,18871,1,15,3,146,4,0,0,86,156,3365,0,0,319,1,14,4,2,0,141,12,621,5517,1,13,0,0,30,8,0,0,0,116,119,12,0,0,1,0,2,0,0,127,0,0,3347,0,0,2,1,0,0,0,1567,0,0,1,3,0,530,7,13,2,230,3,47,1,1,114,41,6,34,0,0,0,0,0,6,3323,7,129,1987,0,13,59,32,7,0,0,7,5,1738,0
Autumn_W08_1,270,932,4,0,6,2,58,2757,117,103,3,2,176,0,0,21,14,880,0,0,1741,2,8,24,0,1,12,9,54,419,0,414,2,0,0,0,0,0,0,14,25,9,0,0,0,0,2,2,0,1,0,0,37927,1,0,18,1,0,0,0,583,0,0,0,10,0,26,1,3,1,9,2,634,0,0,185,775,116,4,0,0,0,0,18,2,1993,3,0,47,0,64,38,28,8,0,0,0,0,56,0
Autumn_W08_2,5,3480,7,0,1,20,66,5872,0,20,1,0,1,0,0,8,980,2719,28,0,2070,1,434,0,2,0,16,17,28,335,0,0,0,0,8,0,0,5,0,43,2,1,0,0,1,0,7,0,0,2,0,0,4263,3,0,1,0,0,0,0,105,0,0,0,3,0,85,35,3,0,29,1,37,0,17,45,25,8,7,2,0,0,0,31,0,4701,34,1,58,0,76,2605,39,0,0,0,0,0,104,0
