Sample,Abbottina_rivularis,Acheilognathus_chankaensis,Acheilognathus_macropterus,Aphyocypris_chinensis,Barbatula_nuda,Brachymystax_lenok,Carassius_auratus,Carassius_gibelio,Channa_argus,Chanodichthys_erythropterus,Chanodichthys_mongolicus,Cobitis_lutheri,Cobitis_melanoleuca,Coregonus_chadary,Cottus_poecilopus,Ctenopharyngodon_idella,Culter_alburnus,Cyprinus_carpio,Elopichthys_bambusa,Esox_lucius,Esox_reichertii,Eudontomyzon_morii,Gnathopogon_strigatus,Gobio_cynocephalus,Gobio_soldatovi,Gobiobotia_pappenheimi,Hemibarbus_labeo,Hemibarbus_maculatus,Hemiculter_bleekeri,Hemiculter_leucisculus,Hucho_taimen,Hypomesus_nipponensis,Hypomesus_olidus,Hypophthalmichthys_molitrix,Hypophthalmichthys_nobilis,Ictalurus_punctatus,Ladislavia_taczanowskii,Lefua_costata,Leiocassis_longirostris,Leuciscus_waleckii,Lota_lota,Luciobarbus_capito,Macropodus_chinensis,Megalobrama_skolkovii,Megalobrama_terminalis,Mesocottus_haitej,Micropercops_swinhonis,Microphysogobio_amurensis,Misgurnus_anguillicaudatus,Misgurnus_mohoity,Mylopharyngodon_piceus,Neosalanx_taihuensis,Oncorhynchus_keta,Oncorhynchus_mykiss,Opsariichthys_bidens,Oryzias_latipes,Parabotia_fasciatus,Parabramis_pekinensis,Paramisgurnus_dabryanus,Perca_fluviatilis,Perccottus_glenii,Phoxinus_phoxinus,Plagiognathops_microlepis,Protosalanx_hyalocranius,Pseudaspius_leptocephalus,Pseudobrama_simoni,Pseudorasbora_parva,Pungitius_sinensis,Rhinogobius_brunneus,Rhinogobius_cliffordpopei,Rhodeus_lighti,Rhodeus_ocellatus,Rhodeus_sericeus,Rhodeus_sinensis,Rhynchocypris_czekanowskii,Rhynchocypris_lagowskii,Rhynchocypris_oxycephalus,Rhynchocypris_percnurus,Rutilus_rutilus,Salvelinus_leucomaenis,Salvelinus_malma,Sander_lucioperca,Sarcocheilichthys_lacustris,Sarcocheilichthys_nigripinnis,Saurogobio_dabryi,Silurus_asotus,Siniperca_chuatsi,Squalidus_argentatus,Squalidus_chankaensis,Squaliobarbus_curriculus,Tachysurus_argentivittatus,Tachysurus_fulvidraco,Tachysurus_nitidus,Tachysurus_ussuriensis,Thymallus_arcticus,Thymallus_grubii,Thymallus_tugarinae,Tinca_tinca,Xenocypris_argentea,Zacco_platypus
Spring_W01_1,2,11,1,2,1427,1,14,976,0,775,11,0,0,0,1,16,0,1336,6,1,0,0,1,2,28,0,2,19,20,25,0,2,0,5,530,0,0,869,0,2395,1,1236,0,6,4,2,1,1,8,0,4,0,0,1,0,0,4,816,3,0,88,0,8,0,22,6,23,2,25,41,9,4,244,0,0,18,2559,3,32,0,1,4,1,0,3,15,3,306,17,2,0,445,0,0,0,0,0,2,5,982
Spring_W01_2,0,1,0,0,59,0,2,21,0,13,2,28,0,0,1,11,0,57,0,0,0,0,0,1,9,0,10,413,8,23,0,3,0,0,6,0,0,3,2,1108,4,57,0,0,0,28,0,13,2,1,5,0,0,0,0,0,2,1,7,0,276,0,0,0,3,15,1,5,26,2,0,0,33,0,0,0,32,7,2,0,0,11,0,0,2,24,14,8,21,0,0,6,1,1,0,0,0,0,266,31
Spring_W01_3,0,0,0,0,84,0,4,1669,1,7,7,0,0,0,1,8,1,65,0,0,0,0,0,0,21,0,2,662,45,15,0,4,0,0,38,0,0,19,0,8381,19,99,0,4,0,2,0,5,7,1,3,0,0,2,0,0,4,6,14,0,3099,0,5,0,80,8,10,3,24,8,0,10,39,0,0,3,19,6,891,0,0,5,0,0,11,31,0,1244,23,0,1,1511,1,11,0,4,0,0,878,132
Spring_W02_1,0,404,0,5,406,0,2,32,1,1398,2,0,0,0,0,11,4,530,0,0,12,0,20,254,41,0,6,32,29,1133,0,3,0,3,1397,0,0,3,2,29,0,52,0,0,0,3,0,11,3,1,1,0,0,2,0,0,2,2,494,519,9836,1,10,0,642,4,1,26,480,460,0,1,1,0,0,31,1442,3,2,0,0,2,0,0,2,28,5,1038,513,0,34,13,0,3,0,0,0,0,314,1074
Spring_W02_2,2,9,0,0,155,631,2,6,604,9,10,0,6,0,0,23,0,58,0,0,13,0,10,745,45,0,9,635,516,41,0,8,0,4,36,0,0,5,3,31,0,573,0,0,0,16,1,19,0,609,5,1,0,8,49,0,2,3,13,0,28278,8,11,0,21,4,0,23,59,74,0,18,6,0,2,38,13,5,0,0,0,13,0,4,5,5,12,83,11,0,35,362,0,12,0,0,3,0,10,13
Spring_W02_3,0,2,0,0,425,7,0,9,1,298,7,0,0,0,3,10,0,17,1,0,31,0,0,7,5,0,0,7,11,4,0,0,0,0,16,0,0,15,0,10,0,11,0,0,0,0,0,334,7,0,1,0,0,5,1,0,1,0,4,0,19139,0,0,0,429,3,0,21,21,4,0,3,3,0,2,69,3,4,0,0,0,2,0,0,1,13,8,6,6,0,12,440,2,6,0,0,0,0,3,16
Spring_W03_1,1,799,2,0,20,1,2,39,235,11,2,1,0,0,44,10,0,55,14,0,2,0,0,4,0,0,2,25,25,13,0,0,0,1,15,0,0,6,0,1194,0,30,0,0,4,3,0,20,9,2,79,0,0,0,11,0,9,3,0,0,309,0,14,0,3759,14,23,0,10,39,3,8,44,0,0,34,28,1,15,0,0,6,0,1,2,5,9,3112,32,0,8,13,0,6,0,0,0,0,12,44
Spring_W03_2,2,5,0,0,5,0,1,13,6,844,3,44,0,0,2,900,0,2372,0,0,11,0,0,1,1,0,3,668,16,708,0,0,0,0,39,0,0,1,0,43,2,69,0,0,0,53,0,959,0,0,893,0,0,0,5,2,3,1,0,0,441,0,2,0,17,27,0,0,39,3,0,5,26,3,0,9,912,4,0,0,0,20,1,0,3,2,2061,1077,986,0,8,13,0,1,0,0,0,4,10,68
Spring_W03_3,0,5,0,0,15,5,35,82,1,672,1569,0,0,0,0,14,0,42,0,0,7,0,0,0,2,0,0,22,49,22,0,0,0,4,1410,0,0,13,0,124,41,2983,0,0,6,2,0,63,0,1,2,0,0,0,6,0,14,0,0,0,559,0,8,0,108,866,16,0,1514,49,0,1593,52,0,0,9,9,0,25,0,0,6,0,0,9,1,11,1239,29,0,18,61,0,2,0,0,0,3,14,109
Spring_W04_1,259,10,0,0,36,0,19,16,3,30,3,0,0,0,1,1911,0,58,0,0,1721,0,13,3,1,0,1,30,240,15,0,0,0,5,21,0,0,11,0,694,0,1732,0,0,0,0,0,37,1,4,6,0,0,0,4,0,6,5,6,8,744,0,1855,0,19,3,0,32,3811,20,0,2,0,1,0,2618,22,1,1,0,0,5,0,0,16,14,3,1703,44,0,5208,13,0,6,0,0,0,0,19,101
Spring_W04_2,14,0,0,0,143,11,1,20,2,2,1,1,435,0,7,18,1,2511,3,0,845,0,1583,10,54,0,6,442,32,3755,0,7,0,0,358,0,0,2,0,1224,1,39,0,9,3,592,0,1,7,7,0,0,0,7,0,0,2,2,10,2,1356,7,14,0,1,11,6,38,1187,705,1,0,554,2,2,30,16,2,0,0,0,877,0,326,5,2,5,946,11,0,1585,9,2,861,0,0,6,2,499,14
Spring_W04_3,0,0,0,0,122,3,0,8,0,4,3,0,0,0,1,213,0,23,2,0,323,0,3,145,10,0,0,189,6,7,0,1,0,0,241,0,0,3,0,12,175,9,0,0,0,0,0,1,6,0,3,0,0,225,0,0,0,0,0,0,285,0,4,0,2,5,1,14,175,11,0,1,254,0,2,32,12,2,0,0,0,4,1,0,4,6,1,8,2,0,358,150,101,2,0,0,0,0,177,11
Spring_W05_1,0,6,0,0,18,4,1,43,1,5,0,0,0,0,0,23,0,38,1055,0,5,0,12,6,0,0,5,1140,1714,1238,0,0,0,1,22,0,0,12,0,56,0,625,0,3,609,4,1,5,2,1,560,0,0,2,0,0,1,22,0,0,1678,0,1443,0,30,877,2083,9,1536,1252,10,507,994,0,0,29,52,0,16,0,0,14,0,1,3,5,2,53,12,0,7,22,1,7,0,0,0,0,7,31
Spring_W05_2,0,0,0,0,11,2,9,17,0,6,0,28,0,0,2,4,0,41,3,0,4,0,6,0,1,0,3,38,7,1943,0,0,0,0,7,0,0,14,1,56,9,3284,0,1,4,99,0,11,0,0,11,0,0,1,0,0,0,3,0,0,90,0,6,0,0,1734,6,4,1750,11,0,1,44,0,0,6,1934,5,0,0,1,1768,0,1,1,0,15,33,7,0,7,3,1,2,0,0,0,1,7,5
Spring_W05_3,0,0,0,0,22,3,0,44,0,1,11,0,0,0,1,1,1,26,0,0,5,0,3,1,2,0,0,18,568,38,0,0,0,0,1230,0,0,14,0,564,25,34,0,0,1,9,0,1,0,0,2,0,0,0,0,0,7,1,1,0,2502,0,2,0,40,12,10,4,22,5,0,7,3965,0,0,2,9,0,13,0,0,19,0,1,3,1,9,72,1,0,5,1367,2,5,0,0,0,0,11,22
Spring_W06_1,3,6,0,1,3239,1,2,1273,0,23,4,1,1,0,3,21,0,44,5,0,17,0,1363,3,0,0,1,908,37,1047,0,0,0,0,41,0,0,2,0,13,1,36,2,2,2,4,58,4,0,0,4,0,0,1,0,0,0,5,11,15,191,0,15,0,10,12,4,2726,61,18,0,2,18,0,0,1962,25,0,1,0,0,19,0,3,17,0,10,1963,13,2,68,14,2,8,0,0,0,0,1242,32
Spring_W06_2,4,1,0,0,5808,577,4,42,13,3,1,20,6,0,16,2547,2,113,0,0,3,0,18,5,66,0,3,28,126,50,0,18,0,2,3579,0,0,4,0,286,7,29,0,0,2,1532,0,1,18,14,3,0,0,4,6,0,0,0,21,0,491,1409,1184,0,5,5,0,3779,1412,1470,5,0,1445,0,661,7615,1260,11,13,0,0,27,1,5,3,10,10,72,3,0,24,7,0,10,0,1,713,1,11,29
Spring_W06_3,4,1,0,0,4747,778,3,28,0,9,6,8,0,0,2,107,0,1253,0,0,10,2,0,3,12,0,0,15,4,8,0,0,0,0,938,0,0,11,0,1135,8,19,0,0,1,17,0,2,860,0,5,0,0,7,0,0,0,0,0,2,3034,5,3,0,4,5,0,2687,28,21,5,0,45,0,845,11827,6,2,7,0,0,5,1,0,2,8,4,6,0,0,5,5,0,1,0,0,2,0,4,706
Spring_W07_1,0,7,0,0,71,9,8,2754,8,11,0,35,0,0,4,19,0,57,7,0,0,0,7,0,0,0,1,25,6,19,0,0,0,3,24,0,0,10,1,61,9,74,0,0,7,24,0,0,126,0,3,0,0,0,2,0,1,11,0,0,2424,3,23,0,40,8,20,24,27,2453,1161,3,7003,0,4,2144,54,4,2011,0,0,8,1,0,2,0,11,125,5,0,0,11,0,0,0,0,2,4,1,28
Spring_W07_2,0,0,0,0,69,4,0,969,2,5,0,4798,0,0,48,10,32,34,0,0,0,0,0,0,0,0,1,1066,6,25,0,0,0,1,32,0,0,49,0,1969,917,78,0,0,0,5644,0,17,8,0,8,0,0,0,0,0,0,0,1,0,6918,2,7,0,3,18,1,18,57,30,2,0,4176,0,6,99,25,763,10,0,0,21,0,0,2,3,20,42,5,0,0,1,0,0,0,0,1,9,7,6
Spring_W07_3,7,56,0,0,92,17,6,2287,1,24,4,3291,0,0,0,48,4,1157,0,0,0,0,24,7,0,0,14,92,178,187,0,0,0,4,9,0,0,48,22,13,14,241,0,1,1,2,0,76,4,0,1,0,0,0,3,1173,4,17,0,1,5990,3,5,0,4,7,0,8,5,5,0,0,9668,0,1,49,46,0,2,0,0,42,0,12,24,71,90,96,14,0,1,36,0,43,0,7,0,84,61,22
Spring_W08_1,0,9,0,0,891,0,9,3501,0,0,0,6,0,0,0,31,20,42,0,0,0,0,4,0,0,0,6,32,52,620,0,0,0,4,15,0,0,10,0,1018,0,58,0,0,2,34,0,6,0,0,0,0,0,0,2,0,12,0,0,0,2073,0,0,0,210,0,69,0,418,2,0,1,14,0,0,571,485,0,0,0,0,786,0,0,2,13,1,1099,3,0,0,11,0,12,0,0,0,2,622,1
Spring_W08_2,0,172,1,0,20,0,1,1360,0,838,1,11,7,0,0,6,6,386,0,0,1,0,2,3,0,0,0,186,315,422,0,0,0,1,6,0,0,17,0,694,310,42,0,0,0,9,9,356,0,0,1,0,0,0,0,0,2,4,0,0,1166,0,22,0,662,0,0,0,23,238,0,2,4,2,0,3,47,1,4,0,0,153,0,5,14,24,0,25,2,0,0,125,1,0,0,0,0,1,476,7
Spring_W08_3,1,18,0,0,9,0,2,1487,0,3,213,0,0,0,0,7,4,537,4,0,378,0,16,1,0,0,221,302,355,1171,0,0,0,0,13,0,0,0,0,440,405,19,0,0,1,14,0,5,0,3,0,0,0,0,0,0,5,3,0,1,54,0,4,0,0,10,0,5,17,1,0,0,1,2,0,10,25,795,0,0,0,226,0,6,1,63,1,907,5,0,0,9,1,0,0,1,0,1,33,7
Spring_W09_1,13,2001,10,0,903,0,7,503,0,425,9,624,1,0,0,634,2,518,1,0,199,0,5,6,0,0,23,30,1248,785,0,0,0,5,34,1,0,2,0,1171,7,12,0,2,3,17,0,78,0,0,7,0,0,0,0,0,8,335,6,1,745,0,398,0,6,5,0,1,1338,12,1,360,4,4,0,57,1052,3,7,0,0,331,0,30,6,253,7,464,25,0,0,908,499,4,0,0,0,383,1345,9
Spring_W09_2,6,1182,3,0,7,0,7,71,2,8,2,4,0,0,8,36,7,19,0,0,1,0,0,0,0,0,17,424,167,322,0,0,0,1,1330,0,0,3,0,2552,13,18,0,0,1,781,0,58,0,0,0,0,0,0,0,0,3,1,0,0,1272,0,4,0,3,2,0,0,1449,819,0,1,1,710,0,497,6,1,12,0,0,712,0,971,0,696,701,1492,16,0,0,9,1,0,0,0,0,0,341,779
Spring_W09_3,8,927,1,1,9,0,6,855,2,7,1,7,0,0,0,1440,2,941,0,0,0,0,1,546,0,0,20,1157,242,205,0,0,0,0,628,0,0,5,0,34,11,1121,0,2,0,3,0,93,2,0,1,0,0,0,0,3,1034,28,0,2,39,1,4,0,0,0,0,1196,141,10,0,2,17,2,0,1575,11,3,1,0,0,831,0,1874,8,29,5,1561,518,0,1,740,2,0,0,8,0,4,2599,15
Spring_W10_1,0,17,0,0,11,0,5,457,0,3,4,1,1,0,1,141,41,144,0,0,2,0,3,1,0,0,12,14,166,155,0,0,0,0,9,0,0,2,0,25,2,11,0,2,115,2,0,3,0,0,1,0,6,0,0,0,4,4,0,0,23,0,0,0,13,0,1,4,293,4,0,120,251,2,0,9,11,2,1,0,0,5,0,6,0,24,1,19,3,0,3,8,0,0,0,0,0,4,19,6
Spring_W10_2,5,58,0,0,512,0,11,2596,0,15,2,1239,0,0,0,12,37,73,1,0,0,0,13,2,0,0,6,9,383,1417,0,0,1,0,3,0,0,2095,0,30,13,16,0,0,1,3,1687,100,0,0,0,0,1,0,0,0,167,0,5,1,1343,0,117,0,13,1,0,0,1,5,0,0,168,0,0,27,4,0,47,0,0,1,0,3,1,22,2,44,11,29,4,11,0,0,0,0,0,3,75,1026
Spring_W10_3,11,87,1,0,8,0,18,2829,2,1,13,5,0,0,0,27,20,1097,368,0,559,0,15,0,0,0,13,74,4220,990,0,0,0,1,0,0,0,9,0,25,10,1402,0,3,2,1,5,127,0,1,0,0,3,0,1,0,1,16,0,0,5381,0,8,0,6,22,2,0,17,10,1,0,1,0,0,51,1949,15,2,0,0,17,0,2,1,109,462,246,29,0,1,5,0,0,0,0,0,1,1282,5
Spring_W11_1,854,4339,12,0,457,1,52,1044,33,9,17,11,0,0,1,370,36,87,1,0,47,1,18,11,0,0,20,16,19858,13465,0,0,0,7,98,13,0,3,0,90,38,56,0,0,2,1,1,6291,39,0,0,0,1,0,10,0,11,4,0,0,10,15,13,0,6,1,45,0,27,28,29,23,43,1,0,2004,24,1,20,0,0,4,0,123,12,76,1,1479,937,0,69,62,4,23,0,1,24,6,3122,12
Spring_W11_2,430,2473,3,0,268,0,44,624,0,0,35,2,0,0,0,127,23,77,1,0,0,0,11,11,0,0,20,90,12019,27579,0,0,40,2,153,0,0,1,0,114,63,30,0,0,11,3,1,4083,0,0,0,0,1,0,0,0,1,0,0,0,56,0,4,0,3,0,38,0,29,14,22,12,2,3,0,1805,25,3,16,0,0,4,0,97,17,53,4,973,448,0,105,1,0,4,0,0,5,5,2392,32
Spring_W11_3,557,4943,0,0,480,0,36,789,0,1,24,6,0,0,0,258,68,204,0,0,0,1,19,8,0,0,9,203,18228,14208,0,0,0,0,37,0,0,7,0,206,182,80,0,2,2,0,4,5659,122,0,0,0,0,0,0,3,5,1,0,0,25,74,8,0,7,1,63,4,81,1,0,4,21,0,0,1790,3,2,13,0,0,8,0,153,5,33,0,1621,1016,0,132,11,0,0,0,4,0,1,2655,4
Spring_W12_1,5,1100,0,0,21,0,23,14958,0,0,1,3,0,0,14,12,5615,2167,2,0,0,0,490,1,0,0,988,1031,3888,11169,0,0,0,1,15,0,0,2,0,20,1,26,0,0,2,2,6,94,1,0,0,0,430,0,0,0,1,0,0,0,481,0,0,0,1673,0,4,0,887,4,0,6,4,0,0,39,10,0,2,0,0,4,0,8,2,2874,1,36,30,0,6,193,0,0,0,0,1,1,441,422
Spring_W12_2,0,6,0,0,34,1,48,13586,0,16,8,8,0,0,0,6,1652,3639,1,0,0,0,576,1,13,0,21,18,4632,10936,0,2,0,0,4,0,0,25,0,1045,490,199,0,0,1,0,14,5,0,0,0,0,0,0,0,0,0,0,2,0,16,0,0,0,7,2,3,1,13,11,0,0,3,0,0,1,6,6,2,0,0,10,0,0,2,1400,0,1115,23,0,1,15,1,2,0,5,0,1,1072,27
Spring_W12_3,0,626,0,0,9,0,29,11336,0,2,1,0,0,0,0,4,5,2885,3,0,252,0,1027,0,1,0,16,2055,3387,6808,0,0,0,2,0,0,0,9,0,6,9,372,0,1,11,0,0,1,1,0,3,0,0,0,0,0,3,3,0,0,13,0,0,0,2,858,0,0,802,2,0,2,1,0,0,1,12,2,2,0,0,5,0,2,0,4660,1,3972,26,0,1,8,2,0,0,3,0,1,9,18
Spring_W13_1,11,887,10,0,23,333,70,5998,1,353,7,4,0,0,0,50,24,1818,0,0,0,0,7,3,1,0,1685,57,1187,1004,0,0,0,138,9,0,0,12,0,793,525,641,0,4,5,3,0,94,4,0,0,0,0,0,2,0,3,2,0,3,10,0,13,0,476,15,1,0,1448,461,0,3,438,0,0,365,490,4,12,0,0,8,0,512,261,5933,4,57,26,1,4,2379,7,3,0,5,1,5,507,26
Spring_W13_2,3,72,0,0,13,2,61,6873,0,5,5,0,0,0,0,752,502,1104,0,0,0,0,13,3,0,0,2502,731,3908,4297,0,0,0,3,24,0,0,11,3,656,1874,1731,0,1,0,5,0,98,0,0,0,0,0,0,0,0,8,0,0,0,8,0,2,0,2,6,2,0,18,14,0,0,0,10,0,27,3,1,8,0,0,7,0,17,7,5082,8,56,52,0,6,495,0,4,0,1,0,4,1477,64
Spring_W13_3,303,108,0,0,22,0,55,3073,1,5,9,15,0,0,1,27,13,1899,0,0,1,0,9,10,1,0,1185,1511,2901,1618,0,0,0,2,9,0,0,477,0,24,1404,5834,0,249,10,16,0,121,1,0,0,0,0,0,0,6,26,2,0,0,161,0,0,0,5,4,0,9,6,686,0,0,37,0,0,29,11,1,3,0,0,405,0,21,82,4345,1,84,58,0,6,1203,0,2,0,2012,1,0,92,105
Autumn_W01_1,1,607,4,0,7,22,86,1769,2,791,1,20,0,0,2,41,27,39179,15,0,1093,1,8,15,2,2,7,14,35,529,3,1,0,0,6,0,1,0,0,74,62,1,0,0,1,0,5,0,0,0,0,0,1876,0,0,29,8,0,0,0,180,1,0,0,1,0,90,2,3,2,55,2,32,0,0,180,10,4,4,1,0,0,0,0,4,829,3,17,116,0,20,185,18,22,0,0,14,4,434,1
Autumn_W01_2,8,432,0,0,3,9,60,1318,28,257,1,0,14,0,0,79,34,10558,12,0,755,0,7,6,2,1,77,81,16,406,0,1,0,1,2,0,1,0,0,40,6,2,0,0,12,0,2,6,0,0,0,0,699,1,0,12,0,0,0,0,162,0,0,0,19,0,82,3,2,0,44,0,22,0,0,257,10,4,2,0,0,0,1,1,10,830,37,23,57,0,24,36,34,4,0,0,0,2,435,0
Autumn_W01_3,17,395,0,0,37,10,82,1322,0,103,0,8,1,0,0,24,24,47847,13,0,1355,0,2,17,6,1,9,12,11,463,1,3,0,0,6,5,1,1,0,40,61,6,0,0,20,0,5,0,0,2,0,0,1691,1,0,37,0,0,0,0,94,0,1,1,2,0,58,5,2,8,107,0,38,0,1,235,21,2,3,2,0,0,0,10,8,592,31,9,53,0,25,79,33,9,0,0,7,1,286,0
