"sample","Abbottina_rivularis","Acheilognathus_chankaensis","Acheilognathus_macropterus","Aphyocypris_chinensis","Barbatula_nuda","Brachymystax_lenok","Carassius_auratus","Carassius_gibelio","Channa_argus","Chanodichthys_erythropterus","Chanodichthys_mongolicus","Cobitis_lutheri","Cobitis_melanoleuca","Coregonus_chadary","Cottus_poecilopus","Ctenopharyngodon_idella","Culter_alburnus","Cyprinus_carpio","Elopichthys_bambusa","Esox_lucius","Esox_reichertii","Eudontomyzon_morii","Gnathopogon_strigatus","Gobio_cynocephalus","Gobio_soldatovi","Gobiobotia_pappenheimi","Hemibarbus_labeo","Hemibarbus_maculatus","Hemiculter_bleekeri","Hemiculter_leucisculus","Hucho_taimen","Hypomesus_nipponensis","Hypomesus_olidus","Hypophthalmichthys_molitrix","Hypophthalmichthys_nobilis","Ictalurus_punctatus","Ladislavia_taczanowskii","Lefua_costata","Leiocassis_longirostris","Leuciscus_waleckii","Lota_lota","Luciobarbus_capito","Macropodus_chinensis","Megalobrama_skolkovii","Megalobrama_terminalis","Mesocottus_haitej","Micropercops_swinhonis","Microphysogobio_amurensis","Misgurnus_anguillicaudatus","Misgurnus_mohoity","Mylopharyngodon_piceus","Neosalanx_taihuensis","Oncorhynchus_keta","Oncorhynchus_mykiss","Opsariichthys_bidens","Oryzias_latipes","Parabotia_fasciatus","Parabramis_pekinensis","Paramisgurnus_dabryanus","Perca_fluviatilis","Perccottus_glenii","Phoxinus_phoxinus","Plagiognathops_microlepis","Protosalanx_hyalocranius","Pseudaspius_leptocephalus","Pseudobrama_simoni","Pseudorasbora_parva","Pungitius_sinensis","Rhinogobius_brunneus","Rhinogobius_cliffordpopei","Rhodeus_lighti","Rhodeus_ocellatus","Rhodeus_sericeus","Rhodeus_sinensis","Rhynchocypris_czekanowskii","Rhynchocypris_lagowskii","Rhynchocypris_oxycephalus","Rhynchocypris_percnurus","Rutilus_rutilus","Salvelinus_leucomaenis","Salvelinus_malma","Sander_lucioperca","Sarcocheilichthys_lacustris","Sarcocheilichthys_nigripinnis","Saurogobio_dabryi","Silurus_asotus","Siniperca_chuatsi","Squalidus_argentatus","Squalidus_chankaensis","Squaliobarbus_curriculus","Tachysurus_argentivittatus","Tachysurus_fulvidraco","Tachysurus_nitidus","Tachysurus_ussuriensis","Thymallus_arcticus","Thymallus_grubii","Thymallus_tugarinae","Tinca_tinca","Xenocypris_argentea","Zacco_platypus"
"Spring_W11",1841,11755,15,0,1205,1,132,2457,33,10,76,19,0,0,1,755,127,368,2,0,47,2,48,30,0,0,49,309,50105,55252,0,0,40,9,288,13,0,11,0,410,283,166,0,2,15,4,6,16033,161,0,0,0,2,0,10,3,17,5,0,0,91,89,25,0,16,2,146,4,137,43,51,39,66,4,0,5599,52,6,49,0,0,16,0,373,34,162,5,4073,2401,0,306,74,4,27,0,5,29,12,8169,48
"Spring_W12",5,1732,0,0,64,1,100,39880,0,18,10,11,0,0,14,22,7272,8691,6,0,252,0,2093,2,14,0,1025,3104,11907,28913,0,2,0,3,19,0,0,36,0,1071,500,597,0,1,14,2,20,100,2,0,3,0,430,0,0,0,4,3,2,0,510,0,0,0,1682,860,7,1,1702,17,0,8,8,0,0,41,28,8,6,0,0,19,0,10,4,8934,2,5123,79,0,8,216,3,2,0,8,1,3,1522,467
"Spring_W13",317,1067,10,0,58,335,186,15944,2,363,21,19,0,0,1,829,539,4821,0,0,1,0,29,16,2,0,5372,2299,7996,6919,0,0,0,143,42,0,0,500,3,1473,3803,8206,0,254,15,24,0,313,5,0,0,0,0,0,2,6,37,4,0,3,179,0,15,0,483,25,3,9,1472,1161,0,3,475,10,0,421,504,6,23,0,0,420,0,550,350,15360,13,197,136,1,16,4077,7,9,0,2018,2,9,2076,195
"Autumn_W01",26,1434,4,0,47,41,228,4409,30,1151,2,28,15,0,2,144,85,97584,40,0,3203,1,17,38,10,4,93,107,62,1398,4,5,0,1,14,5,3,1,0,154,129,9,0,0,33,0,12,6,0,2,0,0,4266,2,0,78,8,0,0,0,436,1,1,1,22,0,230,10,7,10,206,2,92,0,1,672,41,10,9,3,0,0,1,11,22,2251,71,49,226,0,69,300,85,35,0,0,21,7,1155,1
"Autumn_W02",11,9884,17,0,331,37,46,4761,2,62,2,3,2,0,0,1132,16,4352,934,0,15524,0,18,382,95,111,572,325,37,3725,0,32,0,0,10,0,32,66,0,1539,933,22,0,0,0,0,377,1,0,0,0,0,44683,7,0,898,0,0,0,0,1969,0,0,0,8,0,1296,157,29,4,2024,1,325,2,3,6258,400,100,1,0,0,2,117,34,61,27768,192,18,90,0,146,570,744,394,0,0,0,2,395,14
"Autumn_W03",122,1496,5,0,353,118,146,2964,40,98,123,310,0,0,110,243,26,1872,0,0,2894,17,390,60,81,0,226,34,838,37594,0,112,0,0,87,168,24,5,0,428,560,7,0,0,0,0,0,86,0,2,3,0,7516,1,0,12,1,0,0,0,530,1,9,48,11,0,140,26,7,10,855,3,311,2,0,840,253,41,18,0,0,0,0,40,8,3515,4,425,238,0,1005,253,1108,246,0,1,11,5,73801,4
"Autumn_W04",492,1523,4,0,504,1302,16,4965,3,1002,4,14,3,0,4,1029,40,1825,34,0,15479,0,567,34,13,2,1065,569,3159,16211,0,9,0,0,235,11,1572,257,0,565,1393,5,0,0,0,0,7,282,0,0,0,0,5389,2,0,27,1,0,0,0,1505,0,0,2,6,0,183,32,40,2,812,42,1341,2,11,214,45,846,5,0,0,0,3,1963,22,29723,60,518,63,0,8451,263,3469,79,0,0,0,2,9869,14
"Autumn_W05",26,13817,18,0,290,1824,940,52124,1,146,2,11,0,0,0,775,14,5078,0,0,9089,1,41,33,1,0,110,47,2845,2222,58,307,1,0,25,7,0,3,0,177,270,25,0,0,61,0,5,1,0,3,0,0,26992,4,0,10,1,0,0,0,617,1,0,1,336,0,709,298,326,5,1886,3,1631,7,32,812,457,12,16,0,0,0,0,0,34,8596,39,39,601,0,404,52,2904,74,0,0,863,5,2304,15
"Autumn_W06",22,2629,4,0,19,113,713,18841,3,22,1,8,4,0,1,67,28,3317,30,0,11182,0,25,1191,6,2,38,1319,3630,2640,1,14,0,0,794,0,21,164,0,487,760,272,0,0,3,0,10,10,1,0,0,0,11190,7,0,38,0,0,0,0,989,0,0,0,16,0,2221,70,36,4,133,0,1511,0,1243,403,689,31,4,2,0,0,1,41,632,40881,2010,824,43,0,3195,1763,253,27,0,0,25,4,3607,0
"Autumn_W07",1062,15360,13,0,10,61,1148,51362,4,295,14,242,7,0,2,280,902,7364,3,0,911,28,32,4,3,0,778,558,2310,17058,1,20,0,0,32,8,0,0,0,442,128,24,0,0,36,0,140,2,32,127,0,0,5366,3,0,23,2,0,0,0,3467,21,0,1,117,0,1689,9,33,5,300,4,112,1,1,157,77,10,74,0,0,0,0,1,11,10637,35,139,5830,0,330,149,244,10,0,0,27,6,5109,3
"Autumn_W08",285,5321,18,0,15,42,177,11732,117,124,5,4,177,0,0,41,1004,5901,28,0,5092,3,443,24,4,1,50,59,138,1798,0,414,2,0,11,0,18,6,0,79,33,11,0,0,1,0,9,4,1,3,0,0,65175,7,0,23,1,0,0,0,1420,0,0,0,18,0,152,46,947,5,574,3,709,2,17,238,1077,129,13,2,0,0,2,49,13,8460,1142,23,144,0,186,4719,77,10,0,0,0,4,255,0
"Autumn_W09",296,3684,39,0,18,34,761,12728,3,51,70,56,1,0,2,22,27,4667,3,0,13519,0,12,5,92,0,120,11,813,32714,1,403,1,0,16,4,2,1,0,685,261,19,0,0,4,0,3,2,0,1,0,0,22064,4,0,1444,1,0,0,0,4177,0,3,0,9,0,5184,11,127,579,3324,3,5488,14,0,39,245,343,53,0,0,0,0,5,2,6305,272,15,4596,0,33,138,75,8,0,0,18,7,6006,2
"Autumn_W10",400,7665,10,0,72,34,227,50615,1,160,3,129,4,0,0,48,22,1797,31,0,4309,0,24,31,230,5,221,48,156,17805,0,15,0,0,417,0,15,4,0,1058,56,18,0,0,0,0,11,3,0,0,0,0,19454,4,0,906,0,0,0,0,11292,0,0,0,4,0,2747,10,45,264,1978,2,11691,19,11,370,526,1153,17,1,0,0,5,140,12,4966,67,31,2086,0,153,132,77,18,0,0,3,2,381,1
"Autumn_W11",0,112,1,0,13460,1386,25,1751,0,1,0,205,1,0,0,77,1,137,0,0,1747,166,0,1081,852,0,9,10,31,1224,3,1155,8,0,18,5,0,6044,0,153,16,1,0,0,0,0,0,0,532,0,0,0,22733,36,0,267,0,0,28,0,4952,1837,0,5,45,0,139,13042,23,11,709,2,12668,1,1567,22317,2275,1015,1,38,0,14,0,19,18,291,6,6,3,0,0,15,0,0,13,66,2715,2,302,7
"Autumn_W12",33,2872,10,0,2129,319,65,6845,44,0,0,213,6,2,0,180,0,588,0,1,940,3,1,363,563,0,2,0,7,9698,0,23,0,1,46,201,0,476,0,1189,0,1,0,0,0,0,0,0,32,0,0,0,34406,69,0,22931,4,0,1,0,1451,138,0,0,92,0,1110,1050,302,736,32283,3,7823,88,424,8793,3690,1196,1,13,0,1,0,0,13,2256,0,0,238,0,0,540,0,0,42,4,291,12,39,94
"Autumn_W13",0,1080,1,0,2719,303,278,45828,0,3,1,1880,5,0,0,27,1,294,0,0,1228,8,0,165,151,0,11,19,394,1128,0,37,1,0,14,1,0,626,0,188,21,13,0,0,0,0,0,0,330,0,0,0,19474,27,0,12,1,0,424,0,22894,201,0,5,14,0,89,1527,10,0,227,0,1954,0,715,4400,745,816,3,14,0,362,0,19,1,633,118,95,0,0,0,2,0,0,6,12,418,2,310,6
